hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,161,2016,July,32,31,2,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,101.15,0,1,Check-Out,05/08/2016
City Hotel,1,12,2016,February,9,23,0,1,2,0,0,SC,HND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79,0,0,Canceled,17/02/2016
City Hotel,1,37,2016,February,8,20,4,8,1,0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,0.5,0,0,Canceled,18/01/2016
City Hotel,0,140,2017,April,17,28,2,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,119,,0,Transient-Party,130,0,1,Check-Out,02/05/2017
City Hotel,0,96,2017,May,18,1,1,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52,,0,Transient,89.1,0,0,Check-Out,05/05/2017
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,170,0,0,Canceled,30/06/2015
City Hotel,0,21,2017,March,11,14,0,1,1,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,2,No Deposit,254,,0,Transient-Party,251,0,0,Check-Out,15/03/2017
City Hotel,0,3,2016,May,19,2,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,28,,0,Transient,110.21,0,0,Check-Out,05/05/2016
City Hotel,0,27,2017,July,28,14,2,3,2,1,0,BB,BEL,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,211,0,4,Check-Out,19/07/2017
City Hotel,0,161,2016,April,18,29,2,2,2,0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,95.2,0,1,Check-Out,03/05/2016
City Hotel,1,88,2015,September,39,26,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,170,0,0,Canceled,21/08/2015
City Hotel,0,5,2016,March,12,19,2,1,2,0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,93.33,0,0,Check-Out,22/03/2016
City Hotel,0,249,2016,September,37,6,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,3,No Deposit,14,,0,Transient,108.1,1,1,Check-Out,09/09/2016
City Hotel,1,46,2017,June,25,20,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,,0,Transient-Party,90,0,0,Canceled,06/06/2017
City Hotel,1,226,2017,July,28,9,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110,0,0,Canceled,25/11/2016
City Hotel,0,119,2015,August,35,27,2,6,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,82.87,0,1,Check-Out,04/09/2015
City Hotel,1,158,2017,April,15,12,0,4,3,0,0,BB,HUN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,173.25,0,1,Canceled,01/03/2017
City Hotel,1,86,2015,October,40,3,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Canceled,28/09/2015
City Hotel,0,187,2017,July,30,23,2,3,3,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,160,0,0,Check-Out,28/07/2017
City Hotel,0,1,2016,February,9,27,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,103,0,1,Check-Out,28/02/2016
City Hotel,1,178,2016,September,37,9,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,135,0,0,Canceled,23/03/2016
City Hotel,0,51,2015,November,46,11,0,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,28,,0,Transient,69,0,1,Check-Out,15/11/2015
City Hotel,0,16,2016,September,40,27,0,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,103.36,0,1,Check-Out,30/09/2016
City Hotel,1,510,2016,December,49,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62.8,0,0,Canceled,21/10/2015
City Hotel,0,229,2016,October,44,27,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,70.44,0,0,Check-Out,30/10/2016
City Hotel,1,326,2015,September,37,8,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,60,0,0,Canceled,28/05/2015
City Hotel,1,330,2015,September,37,12,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,06/07/2015
City Hotel,1,99,2016,February,8,19,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,67,0,Transient-Party,80,0,0,Canceled,22/12/2015
City Hotel,1,2,2016,September,39,23,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,65,0,0,Canceled,21/09/2016
City Hotel,1,50,2016,June,27,29,0,3,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107.1,0,0,Canceled,19/06/2016
City Hotel,1,52,2016,December,50,7,0,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,2,Canceled,18/10/2016
City Hotel,0,283,2016,December,53,28,0,4,2,0,0,SC,UKR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,72.25,0,2,Check-Out,01/01/2017
City Hotel,0,271,2015,July,29,15,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Check-Out,17/07/2015
City Hotel,0,81,2016,March,10,5,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,75.95,0,1,Check-Out,09/03/2016
City Hotel,0,2,2016,November,47,16,0,3,1,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,371,,0,Transient-Party,120,0,0,Check-Out,19/11/2016
City Hotel,0,83,2015,December,51,17,0,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,40,0,Transient,0,0,0,Check-Out,17/12/2015
City Hotel,1,200,2015,September,37,12,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient-Party,86,0,0,Canceled,09/07/2015
City Hotel,1,193,2016,June,26,20,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,162,,39,Transient,120,0,0,Canceled,18/01/2016
City Hotel,0,108,2016,March,13,24,2,3,0,2,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,8,,0,Transient-Party,120,0,1,Check-Out,29/03/2016
City Hotel,0,41,2015,August,33,12,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1,,0,Transient-Party,84,0,1,Check-Out,14/08/2015
City Hotel,0,112,2016,August,33,9,0,4,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,112.5,0,1,Check-Out,13/08/2016
City Hotel,0,55,2016,April,15,6,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56,,0,Transient-Party,104,0,0,Check-Out,07/04/2016
City Hotel,1,317,2016,September,38,15,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,,0,Transient,120,0,0,Canceled,09/02/2016
City Hotel,0,29,2016,December,52,19,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88.4,0,0,Check-Out,23/12/2016
City Hotel,0,1,2017,February,9,27,1,0,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,80,0,0,Check-Out,28/02/2017
City Hotel,1,229,2016,October,43,22,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,10,,0,Transient,89.25,0,0,Canceled,07/03/2016
City Hotel,1,103,2015,July,29,18,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,16/07/2015
City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,140,0,0,Canceled,03/07/2015
City Hotel,0,63,2016,May,21,20,2,2,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138,,0,Transient,110,0,0,Check-Out,24/05/2016
City Hotel,0,30,2016,May,21,15,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126.9,0,1,Check-Out,19/05/2016
City Hotel,1,72,2016,April,15,3,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,100.8,0,0,Canceled,24/01/2016
City Hotel,0,192,2016,August,33,9,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,94.5,0,1,Check-Out,12/08/2016
City Hotel,0,414,2017,July,28,13,0,2,1,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,6,,0,Transient-Party,95.5,0,0,Check-Out,15/07/2017
City Hotel,0,55,2015,September,37,6,2,0,2,0,10,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,75,0,0,Check-Out,08/09/2015
City Hotel,1,75,2016,October,45,30,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,,0,Transient,105,0,0,Canceled,17/10/2016
City Hotel,1,55,2017,January,3,18,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,79,0,0,Canceled,24/11/2016
City Hotel,0,175,2017,June,24,14,0,3,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,171,0,1,Check-Out,17/06/2017
City Hotel,0,3,2017,April,17,26,0,1,3,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9,,0,Transient,287,0,1,Check-Out,27/04/2017
City Hotel,1,36,2016,September,40,28,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,21,,0,Transient-Party,75,0,0,Canceled,24/08/2016
City Hotel,0,79,2017,March,11,17,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,124.2,0,2,Check-Out,20/03/2017
City Hotel,1,164,2015,August,33,14,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient,60,0,0,Canceled,19/05/2015
City Hotel,0,202,2016,September,37,6,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,128.85,0,2,Check-Out,10/09/2016
City Hotel,0,38,2016,September,37,10,1,1,2,0,0,BB,USA,Direct,Direct,0,0,0,D,D,1,No Deposit,14,,0,Transient,170.57,0,2,Check-Out,12/09/2016
City Hotel,1,100,2016,April,17,23,1,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,96,0,0,Canceled,09/02/2016
City Hotel,1,53,2016,May,23,31,0,2,2,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,116.1,0,0,Canceled,24/04/2016
City Hotel,0,70,2017,February,7,15,0,4,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,242,0,Transient-Party,78,0,0,Check-Out,19/02/2017
City Hotel,1,99,2016,July,28,9,2,2,1,0,0,BB,ISL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,112.05,0,0,Canceled,16/05/2016
City Hotel,0,98,2016,May,21,17,0,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126.9,0,0,Check-Out,20/05/2016
City Hotel,0,317,2017,August,32,11,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,108.9,1,1,Check-Out,14/08/2017
City Hotel,0,36,2016,December,50,8,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,,0,Transient,0,0,0,Check-Out,08/12/2016
City Hotel,0,181,2016,October,42,11,0,2,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,234,,0,Transient-Party,120,0,1,Check-Out,13/10/2016
City Hotel,1,45,2016,March,11,11,0,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,71.1,0,0,Canceled,20/02/2016
City Hotel,0,10,2017,May,21,22,1,2,1,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,201.33,0,1,Check-Out,25/05/2017
City Hotel,1,2,2016,May,22,22,1,0,1,0,0,BB,PRT,Aviation,Corporate,0,0,0,D,D,0,No Deposit,,153,0,Transient,110,0,0,Canceled,20/05/2016
City Hotel,0,44,2016,June,25,18,1,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,6,,0,Transient,96.3,0,0,Check-Out,20/06/2016
City Hotel,1,594,2017,February,8,23,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,59,0,0,Canceled,21/10/2015
City Hotel,0,20,2015,September,36,2,0,4,2,0,0,BB,TWN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7,,0,Transient,80.85,0,2,Check-Out,06/09/2015
City Hotel,1,24,2016,February,6,3,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,96,0,0,Canceled,18/01/2016
City Hotel,0,65,2016,May,20,9,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,119.85,0,0,Check-Out,13/05/2016
City Hotel,0,116,2017,March,12,24,0,2,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient-Party,100,0,1,Check-Out,26/03/2017
City Hotel,1,281,2016,April,16,14,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,21/10/2015
City Hotel,0,95,2017,June,24,11,2,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,0,0,Check-Out,14/06/2017
City Hotel,1,22,2016,August,35,21,2,0,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,139,0,1,Canceled,01/08/2016
City Hotel,0,13,2016,July,30,20,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,174,0,Transient-Party,95,0,0,Check-Out,22/07/2016
City Hotel,0,61,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,55.96,0,0,Check-Out,14/07/2015
